pair,index_finger,middle_finger,ring_finger,little_finger,thumb,rest,victory_gesture
ch1-2,0.3016,0.2848,0.3285,0.2527,0.2761,0.1169,0.2199
ch1-3,0.2812,0.2536,0.2703,0.2244,0.2542,0.1204,0.1946
ch1-4,0.2682,0.2290,0.2408,0.2068,0.2455,0.1190,0.1949
ch1-5,0.2579,0.2869,0.2621,0.2019,0.2743,0.1167,0.1862
ch1-6,0.3244,0.3162,0.3359,0.2555,0.2691,0.1141,0.2019
ch1-7,0.3288,0.2990,0.3118,0.2949,0.2258,0.1170,0.2029
ch1-8,0.3085,0.2663,0.3356,0.2559,0.2251,0.1135,0.2213
ch2-3,0.2837,0.2916,0.2862,0.2712,0.2851,0.1203,0.2299
ch2-4,0.2664,0.2551,0.2514,0.2444,0.2713,0.1181,0.2178
ch2-5,0.2544,0.3223,0.2740,0.2356,0.3017,0.1159,0.2076
ch2-6,0.3202,0.3595,0.3534,0.3024,0.2927,0.1133,0.2220
ch2-7,0.3250,0.3384,0.3287,0.3478,0.2417,0.1146,0.2233
ch2-8,0.3012,0.2904,0.3487,0.2952,0.2370,0.1107,0.2400
ch3-4,0.2627,0.2376,0.2223,0.2319,0.2635,0.1247,0.1977
ch3-5,0.2433,0.2865,0.2350,0.2170,0.2829,0.1204,0.1870
ch3-6,0.3037,0.3170,0.3002,0.2801,0.2744,0.1177,0.1993
ch3-7,0.3079,0.3002,0.2793,0.3205,0.2288,0.1189,0.2004
ch3-8,0.2851,0.2633,0.2961,0.2732,0.2253,0.1147,0.2166
ch4-5,0.2393,0.2670,0.2186,0.2044,0.2790,0.1215,0.1969
ch4-6,0.2916,0.2884,0.2712,0.2570,0.2670,0.1164,0.2011
ch4-7,0.2958,0.2740,0.2519,0.2937,0.2215,0.1182,0.2009
ch4-8,0.2735,0.2398,0.2677,0.2491,0.2167,0.1135,0.2164
ch5-6,0.2899,0.3786,0.3054,0.2520,0.3094,0.1159,0.1990
ch5-7,0.2893,0.3525,0.2805,0.2850,0.2488,0.1171,0.1932
ch5-8,0.2680,0.3024,0.2998,0.2431,0.2394,0.1116,0.2086
ch6-7,0.3729,0.3929,0.3759,0.3856,0.2507,0.1152,0.2204
ch6-8,0.3390,0.3326,0.3924,0.3249,0.2370,0.1090,0.2293
ch7-8,0.3472,0.3174,0.3678,0.3727,0.2043,0.1120,0.2348
